!  65.0  0.65473E+02  0.89618E+02  0.15509E+03
! th_cm       iT11         T20         T21         T22
    1.0  -0.2351E-04  0.1031E-02 -0.1094E-04  0.2667E-06
   32.0	  0.1335E+00 -0.2682E-01  0.8829E-02 -0.2928E-01
   33.0	  0.1351E+00 -0.2529E-01  0.8177E-02 -0.3084E-01
   34.0	  0.1365E+00 -0.2370E-01  0.7451E-02 -0.3240E-01
   35.0	  0.1378E+00 -0.2205E-01  0.6647E-02 -0.3396E-01
   36.0	  0.1388E+00 -0.2035E-01  0.5759E-02 -0.3554E-01
   37.0	  0.1396E+00 -0.1858E-01  0.4783E-02 -0.3712E-01
   38.0	  0.1402E+00 -0.1675E-01  0.3714E-02 -0.3871E-01
   39.0	  0.1405E+00 -0.1487E-01  0.2545E-02 -0.4032E-01
   40.0	  0.1406E+00 -0.1293E-01  0.1271E-02 -0.4194E-01
   41.0	  0.1404E+00 -0.1095E-01 -0.1128E-03 -0.4359E-01
   42.0	  0.1399E+00 -0.8914E-02 -0.1612E-02 -0.4525E-01
   43.0	  0.1391E+00 -0.6840E-02 -0.3233E-02 -0.4694E-01
   44.0	  0.1380E+00 -0.4732E-02 -0.4977E-02 -0.4864E-01
   45.0	  0.1365E+00 -0.2594E-02 -0.6851E-02 -0.5037E-01
   46.0	  0.1346E+00 -0.4328E-03 -0.8856E-02 -0.5212E-01
   47.0	  0.1323E+00  0.1745E-02 -0.1100E-01 -0.5388E-01
   48.0	  0.1296E+00  0.3934E-02 -0.1327E-01 -0.5566E-01
   49.0	  0.1264E+00  0.6126E-02 -0.1569E-01 -0.5746E-01
   50.0	  0.1228E+00  0.8316E-02 -0.1825E-01 -0.5927E-01
   51.0	  0.1187E+00  0.1050E-01 -0.2095E-01 -0.6108E-01
   52.0	  0.1141E+00  0.1266E-01 -0.2380E-01 -0.6291E-01
   53.0	  0.1090E+00  0.1479E-01 -0.2680E-01 -0.6473E-01
   54.0	  0.1034E+00  0.1689E-01 -0.2994E-01 -0.6657E-01
   55.0	  0.9729E-01  0.1894E-01 -0.3324E-01 -0.6841E-01
   56.0	  0.9064E-01  0.2093E-01 -0.3669E-01 -0.7026E-01
   57.0	  0.8346E-01  0.2285E-01 -0.4030E-01 -0.7212E-01
   58.0	  0.7576E-01  0.2468E-01 -0.4407E-01 -0.7399E-01
   59.0	  0.6753E-01  0.2640E-01 -0.4801E-01 -0.7588E-01
   60.0	  0.5879E-01  0.2799E-01 -0.5211E-01 -0.7780E-01
   61.0	  0.4953E-01  0.2942E-01 -0.5638E-01 -0.7974E-01
   62.0	  0.3976E-01  0.3069E-01 -0.6081E-01 -0.8171E-01
   63.0	  0.2950E-01  0.3175E-01 -0.6541E-01 -0.8372E-01
   64.0	  0.1874E-01  0.3259E-01 -0.7018E-01 -0.8578E-01
   65.0	  0.7502E-02  0.3318E-01 -0.7511E-01 -0.8788E-01
   66.0	 -0.4208E-02  0.3349E-01 -0.8020E-01 -0.9002E-01
   67.0	 -0.1638E-01  0.3350E-01 -0.8544E-01 -0.9222E-01
   68.0	 -0.2899E-01  0.3318E-01 -0.9083E-01 -0.9446E-01
   69.0	 -0.4202E-01  0.3251E-01 -0.9635E-01 -0.9674E-01
   70.0	 -0.5546E-01  0.3146E-01 -0.1020E+00 -0.9907E-01
   71.0	 -0.6928E-01  0.3001E-01 -0.1078E+00 -0.1014E+00
   72.0	 -0.8344E-01  0.2815E-01 -0.1136E+00 -0.1038E+00
   73.0	 -0.9792E-01  0.2586E-01 -0.1195E+00 -0.1063E+00
   74.0	 -0.1127E+00  0.2311E-01 -0.1256E+00 -0.1087E+00
   75.0	 -0.1277E+00  0.1990E-01 -0.1316E+00 -0.1111E+00
   76.0	 -0.1428E+00  0.1620E-01 -0.1377E+00 -0.1136E+00
   77.0	 -0.1581E+00  0.1200E-01 -0.1438E+00 -0.1160E+00
   78.0	 -0.1735E+00  0.7281E-02 -0.1500E+00 -0.1185E+00
   79.0	 -0.1889E+00  0.2029E-02 -0.1561E+00 -0.1209E+00
   80.0	 -0.2043E+00 -0.3773E-02 -0.1622E+00 -0.1232E+00
   81.0	 -0.2196E+00 -0.1014E-01 -0.1682E+00 -0.1255E+00
   82.0	 -0.2348E+00 -0.1709E-01 -0.1742E+00 -0.1278E+00
